                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0953,                  1.196,                 1.1386,                0.48424,                0.74753,                0.64924,                0.46223,                0.98238,                 1.0657,                  1.139,               0.004951,               0.004951,               0.004951
                     53,                    1.1,                 1.2009,                 1.1436,                0.48499,                 0.7466,                0.64947,                0.46247,                0.98106,                 1.0647,                 1.1382,               0.004852,               0.004852,               0.004852
                     54,                 1.0939,                 1.1916,                   1.14,                0.48593,                0.74416,                0.64977,                0.46354,                0.97859,                 1.0636,                 1.1368,               0.004753,               0.004753,               0.004753
                     55,                 1.0918,                 1.1871,                 1.1362,                0.48814,                0.74113,                0.64977,                 0.4633,                  0.977,                 1.0622,                  1.136,               0.004654,               0.004654,               0.004654
                     56,                  1.085,                 1.1861,                 1.1336,                0.48819,                0.74183,                0.64977,                0.46435,                0.97517,                 1.0614,                 1.1351,               0.004555,               0.004555,               0.004555
                     57,                 1.0827,                  1.183,                 1.1333,                0.48761,                 0.7413,                0.64939,                0.46384,                0.97325,                 1.0603,                 1.1342,               0.004456,               0.004456,               0.004456
                     58,                 1.0691,                 1.1713,                 1.1286,                0.48584,                0.74439,                0.64965,                0.46339,                0.97193,                 1.0598,                 1.1338,               0.004357,               0.004357,               0.004357
                     59,                 1.0598,                 1.1603,                 1.1192,                0.48306,                0.74968,                 0.6496,                0.46335,                0.97076,                 1.0584,                  1.133,               0.004258,               0.004258,               0.004258
                     60,                 1.0648,                 1.1698,                 1.1258,                0.48482,                0.74663,                0.65011,                0.46331,                  0.969,                 1.0579,                 1.1321,               0.004159,               0.004159,               0.004159
                     61,                 1.0571,                 1.1597,                 1.1199,                0.48575,                0.74663,                0.64999,                0.46398,                0.96789,                 1.0566,                 1.1315,                0.00406,                0.00406,                0.00406
                     62,                 1.0533,                 1.1655,                 1.1226,                0.48437,                0.74925,                0.64987,                0.46482,                0.96639,                 1.0556,                 1.1308,               0.003961,               0.003961,               0.003961
                     63,                 1.0446,                 1.1521,                 1.1161,                0.48807,                0.74229,                0.65011,                0.46484,                0.96466,                 1.0548,                 1.1301,               0.003862,               0.003862,               0.003862
                     64,                 1.0396,                 1.1519,                 1.1152,                0.48816,                0.74309,                0.65048,                0.46516,                0.96331,                 1.0541,                 1.1293,               0.003763,               0.003763,               0.003763
                     65,                 1.0377,                 1.1487,                 1.1132,                0.48843,                0.74262,                0.65036,                0.46662,                0.96158,                 1.0534,                 1.1284,               0.003664,               0.003664,               0.003664
                     66,                 1.0329,                 1.1433,                 1.1075,                0.48599,                0.74559,                0.65071,                0.46694,                0.96003,                 1.0524,                 1.1277,               0.003565,               0.003565,               0.003565
                     67,                  1.029,                 1.1371,                 1.1061,                0.48683,                0.74683,                 0.6508,                0.46771,                0.95881,                 1.0514,                  1.127,               0.003466,               0.003466,               0.003466
                     68,                   1.02,                  1.133,                 1.1057,                0.48538,                0.74833,                0.65091,                0.46801,                0.95704,                 1.0507,                  1.126,               0.003367,               0.003367,               0.003367
                     69,                 1.0109,                 1.1266,                 1.0983,                 0.4853,                0.74922,                0.65085,                0.46832,                0.95582,                 1.0498,                 1.1255,               0.003268,               0.003268,               0.003268
                     70,                 1.0045,                 1.1168,                 1.0937,                0.48429,                0.75242,                0.65068,                0.46836,                0.95421,                  1.049,                 1.1246,               0.003169,               0.003169,               0.003169
                     71,                 1.0042,                 1.1232,                 1.0932,                0.48531,                0.74859,                0.65074,                 0.4687,                0.95242,                 1.0479,                 1.1236,                0.00307,                0.00307,                0.00307
                     72,                0.99429,                 1.1105,                 1.0898,                0.48603,                0.75004,                 0.6509,                0.46935,                0.95059,                 1.0469,                 1.1228,               0.002971,               0.002971,               0.002971
